Crystal,Peak,Source,Peak_Error,Source_Error,,,,,,,,,,
32,1010.19,778.9045,0.03,0.0024,,,32,1010.19,778.9045,1.01019,0.1557809,,,
32,1826.41,1408.018,0.03,0.003,,,32,1826.41,1408.018,1.82641,0.2816036,,,
33,133.45,121.782,0.01,0.0003,,,33,133.45,121.782,0.13345,0.0243564,,,
33,268.08,244.697,0.01,0.0008,,,33,268.08,244.697,0.26808,0.0489394,,,
33,377.28,344.279,0.01,0.0012,,,33,377.28,344.279,0.37728,0.0688558,,,
33,855.62,778.9045,0.01,0.0024,,,33,855.62,778.9045,0.85562,0.1557809,,,
33,1548.02,1408.018,0.02,0.003,,,33,1548.02,1408.018,1.54802,0.2816036,,,
34,136.076,121.782,0.01,0.0003,,,34,136.076,121.782,0.136076,0.0243564,,,
34,273.33,244.697,0.02,0.0008,,,34,273.33,244.697,0.27333,0.0489394,,,
34,384.72,344.279,0.02,0.0012,,,34,384.72,344.279,0.38472,0.0688558,,,
34,872.92,778.9045,0.03,0.0024,,,34,872.92,778.9045,0.87292,0.1557809,,,
34,1577.38,1408.018,0.04,0.003,,,34,1577.38,1408.018,1.57738,0.2816036,,,
35,128.672,121.782,0.006,0.0003,,,35,128.672,121.782,0.128672,0.0243564,,,
35,258.64,244.697,0.02,0.0008,,,35,258.64,244.697,0.25864,0.0489394,,,
35,363.91,344.279,0.015,0.0012,,,35,363.91,344.279,0.36391,0.0688558,,,
35,826.96,778.9045,0.024,0.0024,,,35,826.96,778.9045,0.82696,0.1557809,,,
35,1494.54,1408.018,0.03,0.003,,,35,1494.54,1408.018,1.49454,0.2816036,,,
36,135.54,121.782,0.01,0.0003,,,36,135.54,121.782,0.13554,0.0243564,,,
36,272.51,244.697,0.01,0.0008,,,36,272.51,244.697,0.27251,0.0489394,,,
36,383.38,344.279,0.01,0.0012,,,36,383.38,344.279,0.38338,0.0688558,,,
36,870.69,778.9045,0.02,0.0024,,,36,870.69,778.9045,0.87069,0.1557809,,,
36,1574.76,1408.018,0.03,0.003,,,36,1574.76,1408.018,1.57476,0.2816036,,,
37,127.56,121.782,0.02,0.0003,,,37,127.56,121.782,0.12756,0.0243564,,,
37,256.2,244.697,0.05,0.0008,,,37,256.2,244.697,0.2562,0.0489394,,,
37,360.37,344.279,0.03,0.0012,,,37,360.37,344.279,0.36037,0.0688558,,,
37,811.69,778.9045,0.03,0.0024,,,37,811.69,778.9045,0.81169,0.1557809,,,
37,1468.46,1408.018,0.04,0.003,,,37,1468.46,1408.018,1.46846,0.2816036,,,
38,125.12,121.782,0.006,0.0003,,,38,125.12,121.782,0.12512,0.0243564,,,
38,251.47,244.697,0.014,0.0008,,,38,251.47,244.697,0.25147,0.0489394,,,
38,353.77,344.279,0.02,0.0012,,,38,353.77,344.279,0.35377,0.0688558,,,
38,803.31,778.9045,0.01,0.0024,,,38,803.31,778.9045,0.80331,0.1557809,,,
38,1451.56,1408.018,0.02,0.003,,,38,1451.56,1408.018,1.45156,0.2816036,,,
39,122,121.782,0.006,0.0003,,,39,122,121.782,0.122,0.0243564,,,
39,244.13,244.697,0.02,0.0008,,,39,244.13,244.697,0.24413,0.0489394,,,
39,345.62,344.279,0.03,0.0012,,,39,345.62,344.279,0.34562,0.0688558,,,
39,777.81,778.9045,0.03,0.0024,,,39,777.81,778.9045,0.77781,0.1557809,,,
